epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,33424.6,0.70886,0.47154,1.54015,0.79655,0.80796,0.846,0.69602,0.67035,0.44262,1.61179,0.00685675,0.00685675,0.00685675
129,33677.3,0.71003,0.47277,1.5337,0.7972,0.80775,0.84604,0.69593,0.67038,0.44251,1.61073,0.006832,0.006832,0.006832
130,33929.2,0.71012,0.47169,1.53749,0.79758,0.80827,0.84633,0.69628,0.67041,0.4424,1.61061,0.00680725,0.00680725,0.00680725
131,34180.8,0.71154,0.47366,1.53813,0.79886,0.80756,0.84663,0.69693,0.6702,0.44236,1.61043,0.0067825,0.0067825,0.0067825
132,34439.4,0.70676,0.4712,1.53236,0.79873,0.80752,0.84647,0.69673,0.67006,0.44263,1.60978,0.00675775,0.00675775,0.00675775
133,34691.9,0.70494,0.47256,1.5371,0.79752,0.80858,0.84646,0.69686,0.67,0.4426,1.6089,0.006733,0.006733,0.006733
134,34942.3,0.70782,0.47232,1.53537,0.79713,0.8097,0.84661,0.69726,0.67005,0.44286,1.60789,0.00670825,0.00670825,0.00670825
135,35200.1,0.7079,0.46822,1.54111,0.79765,0.80926,0.84682,0.6974,0.66976,0.44279,1.60737,0.0066835,0.0066835,0.0066835
136,35458,0.70451,0.4673,1.53035,0.79763,0.81036,0.84697,0.69769,0.66976,0.44277,1.60699,0.00665875,0.00665875,0.00665875
137,35715.9,0.70916,0.47249,1.54176,0.79836,0.81065,0.84698,0.69772,0.66956,0.44235,1.60646,0.006634,0.006634,0.006634
138,35973.7,0.70519,0.46851,1.53359,0.79795,0.80977,0.84695,0.69778,0.66947,0.44228,1.60605,0.00660925,0.00660925,0.00660925
139,36233.1,0.70009,0.46419,1.53898,0.79326,0.8161,0.84683,0.69783,0.66932,0.44207,1.6056,0.0065845,0.0065845,0.0065845
140,36492.7,0.70163,0.46421,1.53398,0.79251,0.81577,0.84689,0.69799,0.66919,0.44222,1.6049,0.00655975,0.00655975,0.00655975
141,36751.7,0.70333,0.46734,1.5296,0.79305,0.81494,0.84698,0.69814,0.66909,0.44222,1.60403,0.006535,0.006535,0.006535
142,37009.5,0.70255,0.46313,1.5291,0.79101,0.81716,0.84698,0.69809,0.66889,0.44212,1.6038,0.00651025,0.00651025,0.00651025
143,37259.9,0.70189,0.46205,1.53321,0.78994,0.81823,0.84694,0.69808,0.66853,0.44198,1.60337,0.0064855,0.0064855,0.0064855
144,37509.9,0.70014,0.46233,1.53405,0.78963,0.81798,0.8468,0.69824,0.66842,0.44182,1.60379,0.00646075,0.00646075,0.00646075
145,37768.1,0.69982,0.46274,1.52345,0.79031,0.81644,0.8471,0.69851,0.66812,0.44164,1.60339,0.006436,0.006436,0.006436
146,38026.2,0.69805,0.46019,1.53133,0.78914,0.81588,0.84728,0.6986,0.6678,0.44166,1.60309,0.00641125,0.00641125,0.00641125
147,38284.1,0.69766,0.45925,1.53012,0.7895,0.81574,0.84729,0.69882,0.66749,0.44143,1.60261,0.0063865,0.0063865,0.0063865
148,38542,0.6962,0.45889,1.52517,0.78953,0.81478,0.84726,0.69906,0.66731,0.44129,1.60232,0.00636175,0.00636175,0.00636175
149,38800.8,0.69325,0.45663,1.52316,0.79026,0.81378,0.84734,0.6991,0.66713,0.441,1.60191,0.006337,0.006337,0.006337
150,39058.6,0.69769,0.45961,1.53092,0.78991,0.81332,0.8472,0.69892,0.66687,0.44099,1.60131,0.00631225,0.00631225,0.00631225
151,39310.1,0.69818,0.4623,1.53006,0.79069,0.81344,0.84714,0.69852,0.66642,0.44082,1.60081,0.0062875,0.0062875,0.0062875
152,39560.3,0.69631,0.45831,1.52524,0.79173,0.81179,0.84713,0.69906,0.66629,0.44057,1.60046,0.00626275,0.00626275,0.00626275
153,39810.4,0.69435,0.45812,1.52491,0.79225,0.81188,0.84728,0.69922,0.66617,0.4406,1.6002,0.006238,0.006238,0.006238
154,40072.7,0.69662,0.45751,1.53446,0.79179,0.81152,0.84741,0.69911,0.66592,0.44023,1.60001,0.00621325,0.00621325,0.00621325
155,40323.7,0.69467,0.45701,1.52292,0.79091,0.81068,0.84766,0.69941,0.66561,0.44008,1.59959,0.0061885,0.0061885,0.0061885
156,40583.5,0.69334,0.45467,1.52625,0.79047,0.81027,0.84736,0.6992,0.66543,0.43995,1.59897,0.00616375,0.00616375,0.00616375
157,40834.2,0.69173,0.45449,1.52525,0.78993,0.81249,0.84749,0.69972,0.6651,0.43955,1.59886,0.006139,0.006139,0.006139
158,41092,0.69267,0.45503,1.5245,0.79287,0.80899,0.84782,0.69978,0.66486,0.43928,1.59838,0.00611425,0.00611425,0.00611425
159,41349.7,0.69239,0.45607,1.53044,0.79198,0.80966,0.84767,0.69964,0.66472,0.43914,1.59819,0.0060895,0.0060895,0.0060895
160,41600.2,0.69532,0.45771,1.52397,0.79198,0.8097,0.84779,0.69979,0.66469,0.43878,1.59738,0.00606475,0.00606475,0.00606475
161,41861.8,0.69428,0.45455,1.53396,0.7899,0.81021,0.84775,0.6999,0.66461,0.43866,1.59703,0.00604,0.00604,0.00604
162,42119.7,0.69281,0.4544,1.52883,0.78831,0.81481,0.8478,0.69961,0.66442,0.43833,1.59701,0.00601525,0.00601525,0.00601525
163,42373,0.68775,0.44745,1.52768,0.78696,0.81726,0.84793,0.70007,0.6643,0.43819,1.59703,0.0059905,0.0059905,0.0059905
164,42630.9,0.68809,0.44927,1.51948,0.78658,0.81574,0.8478,0.7,0.6642,0.43816,1.59671,0.00596575,0.00596575,0.00596575
165,42881,0.68605,0.44756,1.52781,0.78752,0.81427,0.84789,0.7005,0.66404,0.43777,1.59655,0.005941,0.005941,0.005941
166,43139.9,0.68787,0.44995,1.51976,0.78608,0.81618,0.84812,0.70088,0.66385,0.43765,1.59607,0.00591625,0.00591625,0.00591625
167,43398.3,0.68652,0.44492,1.52345,0.78275,0.81758,0.84828,0.70085,0.66375,0.4374,1.59574,0.0058915,0.0058915,0.0058915
168,43648.9,0.68634,0.44679,1.51585,0.78457,0.81654,0.84844,0.70093,0.6636,0.43728,1.59525,0.00586675,0.00586675,0.00586675
169,43907.7,0.68861,0.45135,1.52285,0.78375,0.81703,0.84861,0.70142,0.6633,0.43685,1.59414,0.005842,0.005842,0.005842
170,44166,0.68562,0.4473,1.51297,0.78209,0.82006,0.84873,0.70136,0.6631,0.43662,1.59386,0.00581725,0.00581725,0.00581725
