epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,12262,0.77918,0.55254,1.61955,0.75877,0.76164,0.79374,0.63338,0.72303,0.49545,1.67094,0.00680725,0.00680725,0.00680725
131,12356.2,0.77879,0.55469,1.61123,0.7581,0.76301,0.79405,0.63395,0.72285,0.49507,1.67046,0.0067825,0.0067825,0.0067825
132,12450.8,0.77557,0.55053,1.61386,0.76014,0.7609,0.79415,0.63363,0.72263,0.49481,1.67018,0.00675775,0.00675775,0.00675775
133,12543.9,0.77986,0.55114,1.61398,0.75951,0.76261,0.79414,0.63384,0.72247,0.49478,1.66979,0.006733,0.006733,0.006733
134,12637,0.7747,0.54931,1.6121,0.76095,0.76029,0.7943,0.63407,0.72217,0.49459,1.66945,0.00670825,0.00670825,0.00670825
135,12731.1,0.77593,0.54791,1.61137,0.7616,0.7607,0.7946,0.63436,0.72198,0.49433,1.66918,0.0066835,0.0066835,0.0066835
136,12825.1,0.77429,0.54836,1.60672,0.76218,0.76177,0.7948,0.63436,0.72166,0.49397,1.66893,0.00665875,0.00665875,0.00665875
137,12919.4,0.77531,0.54829,1.60733,0.76382,0.76032,0.79496,0.63456,0.72157,0.49388,1.66861,0.006634,0.006634,0.006634
138,13014.1,0.77611,0.54847,1.60568,0.76288,0.76184,0.7952,0.63489,0.72148,0.49353,1.66795,0.00660925,0.00660925,0.00660925
139,13108.1,0.77526,0.55306,1.6133,0.76223,0.76257,0.79516,0.63482,0.72149,0.49335,1.66768,0.0065845,0.0065845,0.0065845
140,13201.4,0.77225,0.54837,1.61006,0.76228,0.76428,0.79546,0.63522,0.7213,0.49316,1.66753,0.00655975,0.00655975,0.00655975
141,13295.4,0.77355,0.54928,1.61159,0.7626,0.76493,0.79569,0.63533,0.72096,0.49281,1.66741,0.006535,0.006535,0.006535
142,13389.3,0.76937,0.54411,1.6091,0.76081,0.76539,0.79575,0.63543,0.72056,0.49266,1.66749,0.00651025,0.00651025,0.00651025
143,13483.4,0.77229,0.5441,1.60413,0.76052,0.76478,0.79568,0.63582,0.72028,0.49245,1.66716,0.0064855,0.0064855,0.0064855
144,13577.3,0.77018,0.54363,1.60177,0.76281,0.76416,0.79614,0.63587,0.72009,0.49239,1.66668,0.00646075,0.00646075,0.00646075
145,13671.3,0.77037,0.54495,1.60888,0.763,0.7639,0.79586,0.63568,0.72003,0.49208,1.6664,0.006436,0.006436,0.006436
146,13764.4,0.76799,0.54223,1.60554,0.76252,0.76422,0.7961,0.63628,0.71972,0.49167,1.66604,0.00641125,0.00641125,0.00641125
147,13858.5,0.77081,0.54418,1.60882,0.7636,0.76351,0.79628,0.63652,0.71964,0.49162,1.66586,0.0063865,0.0063865,0.0063865
148,13952.5,0.76979,0.54229,1.6036,0.76514,0.76273,0.79652,0.63672,0.71942,0.49148,1.66554,0.00636175,0.00636175,0.00636175
149,14046.5,0.77062,0.5441,1.60305,0.76416,0.76454,0.79685,0.63707,0.71942,0.49131,1.66498,0.006337,0.006337,0.006337
150,14140.6,0.76819,0.53957,1.60188,0.76424,0.76607,0.79714,0.63727,0.719,0.49101,1.6646,0.00631225,0.00631225,0.00631225
151,14234.8,0.7659,0.54205,1.60387,0.76646,0.7614,0.79699,0.63729,0.71875,0.49081,1.66419,0.0062875,0.0062875,0.0062875
152,14328.8,0.76785,0.54137,1.60455,0.7677,0.76133,0.79745,0.63775,0.71849,0.49077,1.6638,0.00626275,0.00626275,0.00626275
153,14422.9,0.76857,0.54409,1.60826,0.76823,0.76409,0.7977,0.63807,0.71817,0.49023,1.66349,0.006238,0.006238,0.006238
154,14516.8,0.76711,0.54128,1.60427,0.77054,0.76344,0.79811,0.63851,0.71785,0.48994,1.66304,0.00621325,0.00621325,0.00621325
155,14610.6,0.76477,0.5395,1.60147,0.76963,0.7645,0.79807,0.6384,0.71758,0.48987,1.66283,0.0061885,0.0061885,0.0061885
156,14703.9,0.76769,0.53996,1.60834,0.76758,0.76578,0.79857,0.63902,0.71728,0.4897,1.66249,0.00616375,0.00616375,0.00616375
157,14798,0.76563,0.53653,1.59761,0.76654,0.76702,0.79899,0.63907,0.71704,0.48924,1.66233,0.006139,0.006139,0.006139
158,14892,0.76467,0.53991,1.60442,0.77101,0.76404,0.7993,0.63912,0.71674,0.4891,1.66222,0.00611425,0.00611425,0.00611425
159,14985.9,0.76229,0.53592,1.60361,0.76866,0.76688,0.79956,0.63933,0.71629,0.48877,1.66207,0.0060895,0.0060895,0.0060895
160,15079.7,0.76507,0.53952,1.60268,0.76875,0.76781,0.79972,0.63979,0.716,0.48871,1.66196,0.00606475,0.00606475,0.00606475
161,15173.7,0.76332,0.53617,1.6097,0.76899,0.76674,0.7999,0.63981,0.71564,0.48874,1.6619,0.00604,0.00604,0.00604
162,15267.6,0.76221,0.53534,1.60618,0.77093,0.76562,0.79982,0.64012,0.7153,0.48851,1.66184,0.00601525,0.00601525,0.00601525
163,15361.5,0.76061,0.53451,1.59738,0.77237,0.76525,0.79998,0.64039,0.71514,0.48832,1.66164,0.0059905,0.0059905,0.0059905
164,15455.5,0.76247,0.53376,1.59871,0.77077,0.76617,0.80012,0.64072,0.71492,0.48814,1.66142,0.00596575,0.00596575,0.00596575
165,15549.5,0.7607,0.53586,1.60763,0.77053,0.76644,0.80011,0.64094,0.71464,0.48785,1.66129,0.005941,0.005941,0.005941
166,15643.5,0.75762,0.53078,1.59768,0.7704,0.76722,0.80008,0.64125,0.71443,0.48768,1.66102,0.00591625,0.00591625,0.00591625
167,15737.4,0.7609,0.53397,1.60144,0.77004,0.76866,0.80003,0.64142,0.71411,0.4875,1.66088,0.0058915,0.0058915,0.0058915
168,15831.6,0.75902,0.53496,1.59218,0.76993,0.76876,0.79998,0.64155,0.71395,0.48734,1.66041,0.00586675,0.00586675,0.00586675
169,15925.6,0.75848,0.52996,1.59865,0.77143,0.7677,0.80032,0.64188,0.71356,0.48706,1.6601,0.005842,0.005842,0.005842
170,16019.4,0.76254,0.53599,1.59617,0.77126,0.76648,0.80047,0.64195,0.71318,0.48698,1.65983,0.00581725,0.00581725,0.00581725
171,16113.6,0.75816,0.53052,1.59123,0.77222,0.76596,0.80051,0.6424,0.71268,0.48663,1.65959,0.0057925,0.0057925,0.0057925
172,16207.8,0.75811,0.53269,1.59484,0.77177,0.76704,0.80088,0.64303,0.71228,0.48642,1.65934,0.00576775,0.00576775,0.00576775
173,16301.7,0.75469,0.52911,1.59552,0.77278,0.76769,0.80115,0.64282,0.71198,0.48624,1.65904,0.005743,0.005743,0.005743
